Complaint ID,Product,Sub-product,Issue,Sub-issue,State,ZIP code,Submitted via,Date received,Date sent to company,Company,Company response,Timely response,Consumer disputed
1332533,Debt collection,"Other (phone, health club, etc.)",Disclosure verification of debt,Not given enough info to verify debt,NJ,07003,Web,04/16/2015,04/16/2015,"Enhanced Recovery Company, LLC",Closed with non-monetary relief,Yes,
1332516,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,GA,30188,Phone,04/16/2015,04/20/2015,Flagstar Bank,In progress,Yes,
1332482,Debt collection,Credit card,Communication tactics,Frequent or repeated calls,NV,89447,Web,04/16/2015,04/16/2015,Central Portfolio Control Inc.,Closed with explanation,Yes,
1332478,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,TX,75106,Web,04/16/2015,04/16/2015,"Enhanced Recovery Company, LLC",Closed with non-monetary relief,Yes,
1332808,Debt collection,Mortgage,Communication tactics,Frequent or repeated calls,MA,01930,Referral,04/16/2015,04/20/2015,Vanderbilt Mortgage & Finance,Closed with explanation,Yes,
1334465,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,ID,83651,Web,04/16/2015,04/17/2015,"CDI Affiliated Services, Inc.",Closed with explanation,Yes,
1333395,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,AZ,85024,Web,04/16/2015,04/16/2015,R & B Corporation of Virginia,Closed with explanation,Yes,
1332788,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt was discharged in bankruptcy,GA,30228,Web,04/16/2015,04/16/2015,"PDQ Services, Inc.",Closed with non-monetary relief,Yes,
1332711,Debt collection,Medical,Disclosure verification of debt,Not given enough info to verify debt,NY,11780,Web,04/16/2015,04/16/2015,"Gold Key Credit, Inc.",Closed with explanation,Yes,
1333269,Debt collection,,Cont'd attempts collect debt not owed,Debt is not mine,VA,24017,Web,04/16/2015,04/16/2015,"Convergent Resources, Inc.",Closed with explanation,Yes,
1332849,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,TX,77063,Web,04/16/2015,04/16/2015,Southern Management Systems Inc.,Closed with explanation,Yes,
1333253,Consumer loan,Vehicle loan,Problems when you are unable to pay,,AZ,85143,Web,04/16/2015,04/16/2015,DriveTime,Closed with explanation,Yes,
1332949,Debt collection,,Communication tactics,Frequent or repeated calls,OR,97462,Web,04/16/2015,04/16/2015,"National Enterprise Systems, Inc.",Closed with explanation,Yes,
1332886,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,OH,44067,Web,04/16/2015,04/16/2015,"Enhanced Recovery Company, LLC",Closed with non-monetary relief,Yes,
1333202,Debt collection,"Other (phone, health club, etc.)",False statements or representation,Attempted to collect wrong amount,TN,38017,Web,04/16/2015,04/16/2015,"Enhanced Recovery Company, LLC",Closed with non-monetary relief,Yes,
1333085,Debt collection,,Cont'd attempts collect debt not owed,Debt is not mine,CO,80004,Web,04/16/2015,04/16/2015,Forest Recovery Services LLC,Closed with explanation,Yes,
1333068,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt was paid,NJ,07652,Referral,04/16/2015,04/20/2015,Transworld Systems Inc.,In progress,Yes,
1333017,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,AZ,85142,Web,04/16/2015,04/16/2015,"Enhanced Recovery Company, LLC",Closed with non-monetary relief,Yes,
