Make,Model Yr,Model Trim,Price per Mo,Initial Payment,Months,Miles perMo,Lease Cost,Total Miles,Cost per Mile,Each Additional Mile,Additional Terms
Toyota,2014,Camry LE,219,999,36,1000,8883,36000,0.25,0.15,Regional offer
Toyota,2014,Corolla S Plus,199,999,36,1000,8163,36000,0.23,0.15,Regional offer 
Toyota,2014,Corolla LE Plus,199,999,36,1000,8163,36000,0.23,0.15,Regional offer 
Toyota,2014,Corolla LE Plus,199,999,24,1000,5775,24000,0.24,0.15,Regional offer 
Toyota,2014,Prius,209,2199,24,1000,7215,24000,0.3,0.15,Regional offer
Toyota,2014,Prius C,199,999,36,1000,8163,36000,0.23,0.15,Regional offer 
Toyota,2014,RAV4,199,1999,24,1000,6775,24000,0.28,0.15,Regional offer
Toyota,2014.5,Camry LE,189,1999,24,1000,6535,24000,0.27,0.15,Regional offer
Toyota,2014.5,Camry LE,219,999,36,1000,8883,36000,0.25,0.15,Regional offer 
Volkswagen,2014,Passat 1.8T S (Manual),179,2349,36,1000,8793,36000,0.24,0.2,350 disposition fee at lease end.
Volkswagen,2014,Tiguan S 2.0T,209,2999,36,1000,10523,36000,0.29,0.2,350 disposition fee at lease end.
