Date,Country 1,Country 2,Country 3,Country 4,Country 5,Country 6,Target country,Strikes in Iraq,Strikes in Syria,Location 1,Location 2,Aircraft type,Number of aircrafts,Ammunition,Target 1,No of target 1,Status of target 1,Target 2,No of target 2,Status of target 2,Target 3,No of target 3,Status of target 3,Target 4,No of target 4,Status of target 4,Target 5,No of target 5,Status of target 5,Target 6,No of target 6,Status of target 6,Target 7,No of target 7,Status of target 7,Target 8,No of target 8,Status of target 8,Target 9,No of target 9,Status of target 9,Target 10,No of target 10,Status of target 10,Casualties?,Casualties estimate
2014-08-08T00:00:00Z,USA,,,,,,Iraq,1,,Irbil,,Attack,2,500-pound laser-guided bombs,Mobile artillery piece,1,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-08T00:00:00Z,USA,,,,,,Iraq,1,,Irbil,,Remotely piloted aircraft,1,,Mortar position,1,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Unknown
