Make,Model Yr,Model,Trim,Price Per Mo,Initial Payment,Months,Miles Per Mo,Lease Cost,Total Miles,Cost Per Mile,Each Addnl Mile,Additional Terms
Nissan,2014,Juke,S FWD,$189.00 ,"$2,999.00 ",39,"1,000","$10,370.00 ","39,000",$0.27 ,$0.15 ,Residency restrictions apply.
Nissan,2014,Leaf,S,$199.00 ,"$1,999.00 ",36,"1,000","$9,163.00 ","36,000",$0.25 ,$0.15 ,Residency restrictions apply.
Scion,2014,tC,10 Series,$205.00 ,"$1,999.00 ",24,"1,000","$6,919.00 ","24,000",$0.29 ,$0.15 
Scion,2014,tC,10 Series,$201.00 ,"$1,999.00 ",36,"1,000","$9,235.00 ","36,000",$0.26 ,$0.15 
Scion,2014,tC,18-inch Wheels,$182.00 ,"$1,999.00 ",24,"1,000","$6,367.00 ","24,000",$0.27 ,$0.15 
Scion,2014,tC,18-inch Wheels,$179.00 ,"$1,999.00 ",36,"1,000","$8,443.00 ","36,000",$0.23 ,$0.15 
Scion,2015,tC,Panorama Roof,$203.00 ,"$1,999.00 ",24,"1,000","$6,871.00 ","24,000",$0.29 ,$0.15 
Scion,2015,tC,Panorama Roof,$199.00 ,"$1,999.00 ",36,"1,000","$9,163.00 ","36,000",$0.25 ,$0.15 
Scion,2014,xB,,$200.00 ,"$1,999.00 ",24,"1,000","$6,799.00 ","24,000",$0.28 ,$0.15 
Scion,2014,xB,,$189.00 ,"$1,999.00 ",36,"1,000","$8,803.00 ","36,000",$0.24 ,$0.15 
Smart,2014,Cabriolet,Passion,$199.00 ,"$1,493.00 ",36,833,"$8,657.00 ","30,000",$0.29 ,$0.25 ,$395  Disposition fee at lease end.
Smart,2014,Cabriolet,ED,$219.00 ,"$1,889.00 ",24,833,"$7,145.00 ","20,000",$0.36 ,$0.25 ,$395  Disposition fee at lease end.
Smart,2014,Cabriolet,ED,$199.00 ,"$1,294.00 ",36,833,"$8,458.00 ","30,000",$0.28 ,$0.25 ,$395  Disposition fee at lease end.
Subaru,2014,Impreza,2.0i Premium EJD,$208.00 ,$0.00 ,36,"1,000","$7,488.00 ","36,000",$0.21 ,$0.15 ,Regional offer. Not available in Hawaii.
Subaru,2014,Impreza,2.0i Premium ELD,$217.00 ,$0.00 ,36,"1,000","$7,812.00 ","36,000",$0.22 ,$0.15 ,Regional offer. Not available in Hawaii.
