Title,Category,Type,Link,Snapshot
SLIDcES,Assess,Library,/SLIDcES.html,/Misc_Data/50pct_SDCl.png
B4a-Bridge-Relay,Product,"App, Android",http://the12lab.com/b4a-bridge-relay-by-12lab/,/Misc_Data/50pct_BBRl.png
MIR-Blue,Product,"App, Android",http://themr23.wordpress.com/2013/09/07/mir-blue/,/Misc_Data/50pct_MIR.png
Almond+ Sensor Monitor,Assess,"App, Android",/GDCA_Html/AlmondPlus.html,/Misc_Data/33pct_AlmondPlusMonitor.png
